Algorithm,Sample,Result,Time,Seed
MEMETICALGORITHMHYBRIDLOCALSEARCH,100,508.1389371709616,43.1734459400177,7
EVOLUTIONSTRATEGY,100,468.9748694144295,0.24449467658996582,7
DIFFERENTIALEVOLUTION,100,526.3348094962302,1.0941383838653564,7
BASE,100,483.5957041605601,0.12423396110534668,8
GENETICALGORITHM,100,552.2158431530223,1.4379925727844238,8
MEMETICALGORITHM,100,554.9779381868212,27.199122428894043,8
MEMETICALGORITHMHYBRIDLOCALSEARCH,100,513.5214694591422,46.74479913711548,8
EVOLUTIONSTRATEGY,100,489.0678640383623,0.27614927291870117,8
DIFFERENTIALEVOLUTION,100,524.9592286509529,1.0424373149871826,8
BASE,100,495.79696567305973,0.1317133903503418,9
GENETICALGORITHM,100,549.8672115883202,1.500788688659668,9
MEMETICALGORITHM,100,555.3349033132149,27.210967540740967,9
MEMETICALGORITHMHYBRIDLOCALSEARCH,100,512.772266502574,45.326191902160645,9
EVOLUTIONSTRATEGY,100,481.27205810256896,0.2847166061401367,9
DIFFERENTIALEVOLUTION,100,517.2287812689763,1.0041248798370361,9
BASE,100,500.7603565274255,0.12971019744873047,10
GENETICALGORITHM,100,543.0189024923308,1.5307960510253906,10
MEMETICALGORITHM,100,552.9785770600214,27.024406671524048,10
MEMETICALGORITHMHYBRIDLOCALSEARCH,100,509.09065082795547,45.68138265609741,10
EVOLUTIONSTRATEGY,100,482.28834079462035,0.24509310722351074,10
DIFFERENTIALEVOLUTION,100,524.5265591904448,0.9976723194122314,10
BASE,100,489.6359266413433,0.11432433128356934,11
GENETICALGORITHM,100,543.7321384063335,1.3678314685821533,11
MEMETICALGORITHM,100,552.4701104849216,25.09790062904358,11
MEMETICALGORITHMHYBRIDLOCALSEARCH,100,516.6467229365173,47.33727049827576,11
EVOLUTIONSTRATEGY,100,489.1495839278826,0.2802450656890869,11
DIFFERENTIALEVOLUTION,100,520.9117274289302,1.0100104808807373,11
BASE,100,488.96097551527885,0.11971092224121094,12
GENETICALGORITHM,100,550.0038156977536,1.3604393005371094,12
MEMETICALGORITHM,100,554.3911451033182,27.11036705970764,12
MEMETICALGORITHMHYBRIDLOCALSEARCH,100,515.2178017891727,45.755720138549805,12
EVOLUTIONSTRATEGY,100,493.65275295038316,0.24114441871643066,12
DIFFERENTIALEVOLUTION,100,518.951775323756,0.9254918098449707,12
BASE,100,487.09124083994095,0.11307883262634277,13
GENETICALGORITHM,100,547.3556588282709,1.3747618198394775,13
MEMETICALGORITHM,100,553.8108664967211,26.36613702774048,13
MEMETICALGORITHMHYBRIDLOCALSEARCH,100,501.33949808945613,46.19938826560974,13
EVOLUTIONSTRATEGY,100,473.7778556433887,0.2492663860321045,13
DIFFERENTIALEVOLUTION,100,518.7359736236035,1.042262077331543,13
BASE,100,490.73154858208164,0.11201739311218262,14
GENETICALGORITHM,100,547.1269300779203,1.3669004440307617,14
